genes.baseMean	genes.log2FoldChange	genes.lfcSE	genes.stat	genes.pvalue	genes.padj	genes.gene_name	DE
212.431862698216	2.00335459164572	0.3872469958192	5.17332506972128	2.29964417576863e-07	2.29132088686626e-06	Rgs20	up
1240.01841328284	1.61631040654768	0.3175322957885	5.09022366538825	3.57641410741969e-07	3.42933910030557e-06	Sulf1	up
435.60039320193	1.14062347258374	0.208933630309159	5.45926221114311	4.78117207710555e-08	5.39715906164269e-07	Slco5a1	up
488.76984934841	1.97100578362424	0.239183838953726	8.24054748952151	1.71424406646771e-16	5.7370034757786e-15	Sema4c	up
188.076840853333	1.60334656722756	0.307142235854618	5.22020868528965	1.78721628202319e-07	1.81141374712422e-06	Vwa3b	up
343.122186353054	1.71156254082604	0.356005884479599	4.80768047788863	1.52691553304156e-06	1.320901891432e-05	Aff3	up
5599.87522254041	1.07368294557972	0.138062725929571	7.77677637719127	7.43959453819512e-15	2.14854483211361e-13	Map4k4	up
334.243286851467	1.61231407260111	0.608026622754765	2.65171624442406	0.00800838130313086	0.0268382195330527	Fhl2	up
366.180578666699	3.29969419393828	0.266493094825297	12.3819125448689	3.27445505447524e-35	3.88113881040162e-33	Slc40a1	up
264.964938172946	2.44309539013816	0.27490810473418	8.8869529419676	6.28075950573669e-19	2.69346741818879e-17	Nab1	up
105.064188305235	1.80867831172668	0.511509515677931	3.53596219872771	0.000406292826045511	0.00206817952727253	Cdk15	up
692.760842742943	1.17266611020341	0.20680999612468	5.67025836360661	1.42582336367553e-08	1.7609228054424e-07	Fzd7	up
9262.21720400596	4.18676467795577	0.250461542815322	16.7161977479428	9.98926010440621e-63	3.27878252811549e-60	Nrp2	up
2077.75961340016	2.19842221286496	0.179061274952039	12.2774855336744	1.19659695231465e-34	1.3893548831365e-32	Adam23	up
17.823632295106	1.695530177834	0.460128902265202	3.68490257727117	0.00022879013615372	0.00124919707097623	Catip	up
974.97364365665	3.69563786809082	0.165384106285424	22.3457861284009	1.32691875314784e-110	1.6177035199091e-107	Wnt6	up
30.2968818562972	1.06675740023013	0.31274842457806	3.41091214662177	0.000647459495024996	0.00309894522184146	Wnt10a	up
194.976224557309	1.35818852062495	0.259601632065472	5.23181811230836	1.67850870789393e-07	1.71446957668065e-06	Tuba4a	up
23.3980647756108	1.62159191974762	0.477236853428804	3.39787656401002	0.000679110540580112	0.00323411236233855	A630095N17Rik	up
516.519102674799	3.56130247569275	0.3565571664232	9.98802663656415	1.71971109046506e-23	1.08499291979444e-21	Ptprn	up
90.697826864533	1.11074053255981	0.23697514179064	4.68716053577095	2.77021664591328e-06	2.28526136841217e-05	Asic4	up
202.745485550105	1.14750800057948	0.167116516518245	6.8665146000348	6.57894457302006e-12	1.33837218083798e-10	Chpf	up
134.379078247294	1.7765255538049	0.239349212722192	7.42231626166609	1.15089589813057e-13	2.93186435661082e-12	Ap1s3	up
82.3041708836619	10.4950344575067	1.24243107252843	8.44717641852652	2.98432587376834e-17	1.07916258503132e-15	Ccl20	up
1123.5096532925	1.40542520466039	0.135721317753733	10.3552281094894	3.96240910075942e-25	2.70521594127047e-23	Pid1	up
336.382283290155	1.79575237308101	0.228984752736565	7.84223557079771	4.42595053816584e-15	1.31606487431036e-13	B3gnt7	up
8.12232063982525	1.95321323277149	0.710364024798081	2.74959480574299	0.00596689989579313	0.0209726209681625	Nppc	up
272.961073735927	4.38093316014264	0.353684215471414	12.3865667974564	3.08990704475126e-35	3.68800933145556e-33	Gbx2	up
50.3616672491389	2.23257600488874	0.4541886981523	4.91552522986846	8.85447458224569e-07	8.00043261883375e-06	St8sia4	up
7.73639101479448	2.76321209647297	0.91984416892775	3.00400023157619	0.00266455122189927	0.0105680672681587	Serpinb8	up
18.5628710428689	1.09277920597677	0.376661742953218	2.90122165688724	0.00371710843263269	0.0140052111982726	En1	up
87.2016628217294	2.2927955688303	0.49838477996936	4.60045262411757	4.21573896694808e-06	3.37180096944095e-05	ENSMUSG00000101904	up
83.1237201289858	1.06056071105663	0.26838679988811	3.95161278981968	7.76262706653349e-05	0.000470666141284525	Ikbke	up
262.323674045586	1.14977899226081	0.132691872721061	8.66502950544547	4.51396079441486e-18	1.80855124035382e-16	Fam72a	up
54.514943774459	1.21662546568991	0.465581607823852	2.61313042707265	0.00897170568033177	0.0295444863113839	Slc26a9	up
1260.86170563285	1.85403586233452	0.110867571813219	16.7229770798809	8.91522305588075e-63	2.98362798270142e-60	Lemd1	up
45.983674710207	2.01617879364392	0.588644699796593	3.42512010103991	0.000614527698701846	0.00297131976244847	Klhdc8a	up
887.947921759334	1.35608784874759	0.220226929897264	6.1576840279261	7.38164444407704e-10	1.12692224840346e-08	Sox13	up
28.8178442373682	1.78450076302092	0.309431015376143	5.76703909545617	8.06763424624274e-09	1.0368854014674e-07	Mgat4f	up
209.009811288045	3.03616101656155	0.374181657922959	8.11413641549121	4.89251555987421e-16	1.57557463350817e-14	Lgr6	up
1627.01309355477	1.1876822742022	0.272912562516309	4.35187835712483	1.34976146923813e-05	9.59505570885314e-05	Nav1	up
29.5268830592972	1.53732052700346	0.449822837637837	3.41761333212075	0.000631727865725646	0.00304413642354752	Lad1	up
55.4606045673313	1.31126735653326	0.299443275154922	4.37901754799755	1.1921553329084e-05	8.60732115993259e-05	Ptgs2	up
544.393110744769	1.54092222833103	0.125922278508411	12.2370897873175	1.96969185814507e-34	2.27153382667703e-32	Fam129a	up
104.753911134702	1.35019774655032	0.292366181294273	4.61817348563758	3.87132537508279e-06	3.11825302038287e-05	Colgalt2	up
