baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	DE
212.431862698216	2.00335488202324	0.387040072730536	5.17609163281139	2.26582205507358e-07	2.25762118131908e-06	Rgs20	Up
1979.83800828792	-1.12197262661722	0.312677395694433	-3.5882754623992	0.000332872495013808	0.00172374628182514	A830018L16Rik	Down
1240.01841328284	1.61631047085105	0.317606675627785	5.08903179587215	3.59896272254343e-07	3.45096043530175e-06	Sulf1	Up
435.60039320193	1.14062316552547	0.208886959772842	5.46048047597542	4.74847710831035e-08	5.35670900757707e-07	Slco5a1	Up
1083.11437477539	-1.76403779576808	0.235129168619285	-7.50242007883062	6.2650213635661e-14	1.65272619216919e-12	Prdm14	Down
389.900205606402	-1.06629799664026	0.36794782077354	-2.89795980962348	0.00375598717685669	0.0141247574002314	Trpa1	Down
42.6729859223381	-2.21961966419416	0.633173932526314	-3.50554492244817	0.000455673597397515	0.00228748145893553	Kcnb2	Down
81.2214316282869	-1.23187723457099	0.210246354898042	-5.85920852310799	4.65078413105002e-09	6.21123501946492e-08	Efhc1	Down
299.614701883794	-1.05771235403993	0.224528009037856	-4.71082587233734	2.46714965177668e-06	2.05111106948487e-05	Kcnq5	Down
4.74697007335799	-4.16320618428625	1.5202398246143	-2.73851935522245	0.00617165275030309	0.0215546898183289	Col9a1	Down
24.8416970983299	-1.27339442107899	0.426007174249851	-2.98913844190838	0.00279765337897114	0.0109897233307893	Ptpn18	Down
7.73795925371196	-2.78138381652782	1.01369698603896	-2.74380199885582	0.00607321570278256	0.021267469350655	Cfc1	Down
8731.6416286468	-1.43005487756847	0.1871745907857	-7.64021906801316	2.16852458625168e-14	5.97938249404583e-13	Hs6st1	Down
488.76984934841	1.97100542202723	0.239145973744803	8.24185074564759	1.69567013119674e-16	5.66373733840823e-15	Sema4c	Up
188.076840853333	1.6033481468389	0.306930662384977	5.22381222644955	1.75276525088098e-07	1.77860863864665e-06	Vwa3b	Up
125.410991268745	-1.56452264061107	0.228400600774116	-6.84990597795474	7.38985417832379e-12	1.4926630901258e-10	Cracdl	Down
343.122186353054	1.71156292116198	0.355897693697174	4.80914305283	1.51578704995925e-06	1.31260544742286e-05	Aff3	Up
18.7278026426351	-1.54541986571723	0.539882124384476	-2.86251349306883	0.00420295364463241	0.0155407306773366	Creg2	Down
33.8257630531656	-2.06498326957825	0.44759596619172	-4.61349839040718	3.95947331398963e-06	3.18024896579647e-05	Rfx8	Down
5599.87522254041	1.07368287899402	0.138158985605028	7.77135757252511	7.76493569494834e-15	2.24250291778982e-13	Map4k4	Up
27.3680345047287	-1.18440341787532	0.479007849769809	-2.47261797159378	0.013412743671754	0.04123355709465	Gpr45	Down
334.243286851467	1.61231407260111	0.608026622754767	2.65171624442405	0.00800838130313111	0.0268118972306477	Fhl2	Up
366.180578666699	3.29969221286049	0.266421925626561	12.3852126851061	3.14250684659073e-35	3.72474353177851e-33	Slc40a1	Up
75.7553917654458	-1.12687149007477	0.292264680977306	-3.85565401302211	0.000115420636273294	0.000671742016648109	Tmeff2	Down
264.964938172946	2.44309673474049	0.274783539733236	8.89098647288801	6.05687524617797e-19	2.59745594728054e-17	Nab1	Up
360.740791963276	-1.2969206545581	0.250175937351228	-5.18403435713853	2.17136906821538e-07	2.1685738593505e-06	Hecw2	Down
825.389396422198	-1.08060633120699	0.118685969527547	-9.10475210767172	8.64636631586414e-20	4.11075711084037e-18	Pgap1	Down
209.460977529819	-1.05761076068928	0.168246381897857	-6.28608323554538	3.25575431663739e-10	5.27222150629668e-09	Ankrd44	Down
1375.96099595076	-1.37811153721254	0.189332612123046	-7.2787858454988	3.36837892330785e-13	8.0973931638054e-12	Spats2l	Down
6.53201930513018	-2.17212113810482	0.761854405152388	-2.85109743202226	0.00435686168998185	0.0160092390365146	Aox4	Down
30.0498041876538	-1.46990870036389	0.333503489278236	-4.40747622624593	1.04582075626798e-05	7.64456902269028e-05	Aox2	Down
105.064188305235	1.80868834557973	0.511070342443404	3.5390203566352	0.000401614881157963	0.00204436707175786	Cdk15	Up
692.760842742943	1.17266610542651	0.206814668630047	5.67013023396417	1.42689012261545e-08	1.76096606021695e-07	Fzd7	Up
9262.21720400596	4.18676438941156	0.250613172505852	16.7060827152404	1.1835994664842e-62	3.88493763345235e-60	Nrp2	Up
2077.75961340016	2.19842208349575	0.179143750217775	12.2718324296731	1.2831605441526e-34	1.48986286854399e-32	Adam23	Up
666.75413694184	-1.06208958224211	0.228195880089095	-4.65428903373469	3.25100502985739e-06	2.64859922909813e-05	Fzd5	Down
15.0982677253943	-1.36109673017122	0.477127909127488	-2.8526873069744	0.00433512557850677	0.0159465352099038	ENSMUSG00000102140	Down
45.1897975154411	-1.63785247625793	0.660018236135694	-2.48152609516868	0.0130821131180392	0.0404869459109145	Spag16	Down
33.3032668730798	-1.05974309248067	0.401381214870468	-2.64024088128457	0.00828471190383217	0.0276016909573702	Igfbp5	Down
17.823632295106	1.69557559277332	0.45939273292469	3.69090643201637	0.000223456331755853	0.00122163762665243	Catip	Up
974.97364365665	3.69563783392125	0.165412063340029	22.3420091576049	1.44400448154731e-110	1.76044774936067e-107	Wnt6	Up
30.2968818562972	1.06678415010596	0.312210195684281	3.41687800351251	0.000633436582041555	0.00304549171331979	Wnt10a	Up
42.410248290172	-1.05255004261558	0.269530677462079	-3.90512149684211	9.41780570816359e-05	0.00055949567639031	Cdk5r2	Down
194.976224557309	1.3581905632167	0.259417556088752	5.23553834865376	1.64504662956931e-07	1.68331270224754e-06	Tuba4a	Up
